seq,firstname,lastname,age,street,city,state,zip,dollar,pick,date
68,Daniel,Salazar,46,Fetiva Ridge,Kajallef,VT,33375,$5544.75,GREEN,10/24/1905
69,Sadie,Lyons,54,Wewgu Park,Wuclarvi,MO,78799,$956.34,RED,10/19/1965
70,Manuel,Fowler,24,Natuj Park,Douhme,CT,26184,$9494.37,RED,11/12/1907
71,Lydia,Alvarez,53,Vedga Ridge,Viselwim,NY,37715,$6119.74,GREEN,02/03/2067
72,Elva,Reese,50,Vugdi Trail,Nuwahkoh,NC,03946,$9004.37,BLUE,08/11/2024
73,Gregory,Dunn,40,Hufci River,Kinpijiw,VA,44241,$6111.07,RED,02/19/1992
74,Amelia,Miles,56,Eceuz Road,Lorowrip,MD,56645,$152.66,YELLOW,03/15/1978
75,Rosetta,Francis,28,Pibib River,Mucpuik,MA,94558,$8230.19,RED,09/24/2036
76,Kenneth,Rios,49,Ulla Turnpike,Kikvirat,SD,65630,$183.56,BLUE,09/20/1912
77,Mable,Cortez,36,Cevo Manor,Vofkowmes,OK,75417,$8549.91,WHITE,02/22/1928
78,Kevin,Lamb,19,Imzak Pass,Gejubumo,TN,01002,$7742.47,BLUE,08/23/1983
79,Adeline,Coleman,39,Lirir River,Lefatguv,CA,46828,$1878.32,GREEN,12/26/1930
80,Daniel,Knight,50,Meol Path,Fuguwcib,SC,70978,$4187.57,BLUE,01/30/1956
81,Harriett,Walsh,23,Worpol View,Odizeej,WY,70856,$6253.93,WHITE,04/19/1950
82,Nannie,Duncan,29,Rame Parkway,Seehari,WI,92096,$5825.08,RED,12/02/2047
83,Ruth,Rodriquez,38,Gotmi River,Woikigoc,DC,85427,$908.21,YELLOW,04/25/1963
84,Loretta,Robinson,32,Gemujo Point,Mujcemah,OK,26006,$4684.81,GREEN,03/15/2060
85,Adrian,Carroll,61,Etipe Highway,Focewud,MD,38782,$4593.57,YELLOW,05/25/2047
86,Rosalie,Shelton,19,Lichu Key,Nawoshe,MN,13386,$904.24,WHITE,04/25/2048
87,Miguel,Pittman,34,Uvafem Circle,Cuzegku,SD,97448,$6172.27,RED,09/12/1963
88,Brian,Park,48,Luvfo Junction,Tovewi,WI,10341,$4340.92,YELLOW,07/26/1912
89,Larry,Castillo,29,Duvgop Ridge,Novolzah,OH,02686,$3637.61,WHITE,12/30/1912
90,Ralph,Reeves,52,Wavne Boulevard,Usujka,IA,77366,$7561.95,GREEN,05/13/1907
91,Harriett,Poole,47,Vemom Pike,Zemihmar,WA,53838,$9238.31,YELLOW,04/25/2014
92,Charles,Garza,29,Ikepag Grove,Wiidnuf,MD,93142,$1538.36,BLUE,06/13/1904
93,Jackson,Butler,31,Kuma Pike,Poccamfe,LA,83234,$7242.22,RED,02/20/2058
94,Elva,Anderson,32,Vonij Grove,Cecasefeg,MD,76689,$4763.35,RED,09/04/1902
95,Jeanette,Richards,55,Gedici Parkway,Tohasnu,VT,10574,$2721.21,GREEN,10/28/1910
96,Lula,Holland,40,Casif Way,Pafjiski,OH,96717,$7067.06,GREEN,06/24/2004
97,Jeremy,Hernandez,64,Ripem Plaza,Sisajri,MS,53881,$1144.86,GREEN,06/04/1983
98,Henry,Perez,36,Rewli Way,Mugdaja,OH,17073,$639.76,YELLOW,02/01/2025
99,Austin,Lane,22,Racad Manor,Fomugne,FL,37097,$2227.32,RED,01/21/1960
100,Darrell,McCoy,39,Wusas Heights,Elihoare,UT,69724,$5019.92,GREEN,10/05/2010
