seq,firstname,lastname,age,street,city,state,zip,dollar,pick
58,Elmer,Brewer,41,Awuzim Plaza,Erjuwgaz,ID,75537,$482.04,WHITE
59,Evelyn,Alvarez,29,Giew Pass,Fetehu,AZ,65746,$9898.77,RED
60,Hattie,Stone,21,Lopa Ridge,Ifegigvud,NC,65958,$9347.74,GREEN
61,Francis,McLaughlin,52,Ebosib Parkway,Culgivwur,OH,99035,$6637.76,RED
62,Evelyn,Torres,37,Kagos View,Bigzovmi,NC,61081,$2469.87,WHITE
63,Randy,Lewis,59,Lugot Mill,Ekewawej,NH,75336,$8227.14,WHITE
64,Pauline,McCarthy,39,Tihkuc View,Johpokavu,TN,89176,$2051.81,GREEN
65,Clarence,Armstrong,48,Mauh Avenue,Gickubgu,KS,07032,$3303.01,WHITE
66,Nannie,Cain,21,Huzure Plaza,Nertargan,AZ,65411,$9192.80,WHITE
67,Rosa,Poole,45,Vedowe Drive,Lijizes,AR,38188,$3786.09,YELLOW
68,Daniel,Salazar,46,Fetiva Ridge,Kajallef,VT,33375,$5544.75,GREEN
69,Sadie,Lyons,54,Wewgu Park,Wuclarvi,MO,78799,$956.34,RED
70,Manuel,Fowler,24,Natuj Park,Douhme,CT,26184,$9494.37,RED
71,Lydia,Alvarez,53,Vedga Ridge,Viselwim,NY,37715,$6119.74,GREEN
72,Elva,Reese,50,Vugdi Trail,Nuwahkoh,NC,03946,$9004.37,BLUE
73,Gregory,Dunn,40,Hufci River,Kinpijiw,VA,44241,$6111.07,RED
74,Amelia,Miles,56,Eceuz Road,Lorowrip,MD,56645,$152.66,YELLOW
75,Rosetta,Francis,28,Pibib River,Mucpuik,MA,94558,$8230.19,RED
76,Kenneth,Rios,49,Ulla Turnpike,Kikvirat,SD,65630,$183.56,BLUE
77,Mable,Cortez,36,Cevo Manor,Vofkowmes,OK,75417,$8549.91,WHITE
78,Kevin,Lamb,19,Imzak Pass,Gejubumo,TN,01002,$7742.47,BLUE
79,Adeline,Coleman,39,Lirir River,Lefatguv,CA,46828,$1878.32,GREEN
80,Daniel,Knight,50,Meol Path,Fuguwcib,SC,70978,$4187.57,BLUE
81,Harriett,Walsh,23,Worpol View,Odizeej,WY,70856,$6253.93,WHITE
82,Nannie,Duncan,29,Rame Parkway,Seehari,WI,92096,$5825.08,RED
83,Ruth,Rodriquez,38,Gotmi River,Woikigoc,DC,85427,$908.21,YELLOW
84,Loretta,Robinson,32,Gemujo Point,Mujcemah,OK,26006,$4684.81,GREEN
85,Adrian,Carroll,61,Etipe Highway,Focewud,MD,38782,$4593.57,YELLOW
86,Rosalie,Shelton,19,Lichu Key,Nawoshe,MN,13386,$904.24,WHITE
87,Miguel,Pittman,34,Uvafem Circle,Cuzegku,SD,97448,$6172.27,RED
88,Brian,Park,48,Luvfo Junction,Tovewi,WI,10341,$4340.92,YELLOW
89,Larry,Castillo,29,Duvgop Ridge,Novolzah,OH,02686,$3637.61,WHITE
90,Ralph,Reeves,52,Wavne Boulevard,Usujka,IA,77366,$7561.95,GREEN
91,Harriett,Poole,47,Vemom Pike,Zemihmar,WA,53838,$9238.31,YELLOW
92,Charles,Garza,29,Ikepag Grove,Wiidnuf,MD,93142,$1538.36,BLUE
93,Jackson,Butler,31,Kuma Pike,Poccamfe,LA,83234,$7242.22,RED
94,Elva,Anderson,32,Vonij Grove,Cecasefeg,MD,76689,$4763.35,RED
95,Jeanette,Richards,55,Gedici Parkway,Tohasnu,VT,10574,$2721.21,GREEN
96,Lula,Holland,40,Casif Way,Pafjiski,OH,96717,$7067.06,GREEN
97,Jeremy,Hernandez,64,Ripem Plaza,Sisajri,MS,53881,$1144.86,GREEN
98,Henry,Perez,36,Rewli Way,Mugdaja,OH,17073,$639.76,YELLOW
99,Austin,Lane,22,Racad Manor,Fomugne,FL,37097,$2227.32,RED
100,Darrell,McCoy,39,Wusas Heights,Elihoare,UT,69724,$5019.92,GREEN
